strain_id,seed_bank,strain_name_raw,awards_raw,breeder_name_raw,cbd_content_raw,cbd_max_raw,cbd_min_raw,cbd_range_raw,cbn_content_raw,climate_raw,description_raw,difficulty_raw,dominant_type_raw,effects_all_raw,flavors_all_raw,flowering_time_raw,flowering_type_raw,generation_raw,genetics_lineage_raw,height_indoor_raw,height_outdoor_raw,height_raw,indica_percentage_raw,is_hybrid_raw,s3_html_key_raw,sativa_percentage_raw,scraped_at_raw,seed_type_raw,source_url_raw,suitable_environments_raw,terpenes_raw,thc_average_raw,thc_content_raw,thc_max_raw,thc_min_raw,thc_range_raw,total_grow_time_raw,yield_indoor_raw,yield_outdoor_raw,flowering_time_days_clean,height_indoor_cm_clean,height_outdoor_cm_clean,yield_indoor_g_m2_clean,yield_outdoor_g_plant_clean,total_grow_time_days_clean,ruderalis_percentage_clean,filial_type_clean,breeding_status_clean,strain_name_normalized,aka_names_clean,strain_name_no_aka,similar_spelling_clean,is_autoflower_clean,autoflower_seed_to_harvest_days_min_clean,autoflower_seed_to_harvest_days_max_clean,strain_name_extracted,strain_name_base,generation_extracted,phenotype_marker_extracted,strain_name_validated,breeder_validated,validation_confidence,validation_reasoning,validation_changes,flagged_for_review,validation_attempted
be98d0c4-deb4-4bab-8937-d3ee3c0f66f8,attitude,Archive,,,,,,,,,"Experience the ultimate Zkittlez hybrid from Zwoosh Archive Seedbank Ã¢ÂÂ short-statured, high-yielding, and ready in as little as 7 weeks for up to seven harvests a year.",,,,,,,,Cannabiogen Seeds,,,,,FALSE,html/054f79ec7a5035e4.html,,2026-01-14T10:39:46.904754,,https://www.cannabis-seeds-bank.co.uk/archive-seeds-zwoosh/prod_9996,,,,,,,,,,,,,,,,,,,,archive,,Archive,archive,FALSE,,,Zwoosh,Zwoosh,,,Zwoosh,Unknown,80,Breeder is listed as N/A,Strain: Zwoosh -> Zwoosh; Breeder: Unknown -> Unknown,TRUE,TRUE
3d19aede-56bb-47b2-9d6e-00a0c613e7d7,attitude,Grounded Genetics Zwisher,,,,,,,,,High-grade cannabis seeds for sale at the Attitude Seedbank UK. Shop for Zwisher Cannabis Seeds By Grounded Genetics. Secure shopping & fast checkout.,,,,,,,,Zwisher | Attitude Seedbank UK,,,,,FALSE,html/6a252a6eda3d9595.html,,2026-01-14T10:39:47.155404,,https://www.cannabis-seeds-bank.co.uk/grounded-genetics-zwisher/prod_9439,,,,,,,,,,,,,,,,,,,,grounded genetics zwisher,,Grounded Genetics Zwisher,groundedgeneticszwisher,FALSE,,,Zwisher,Zwisher,,,Zwisher,Grounded Genetics,100,Cleaned breeder name.,Strain: Zwisher -> Zwisher; Breeder: Grounded Genetics -> Grounded Genetics,FALSE,TRUE
6a7be7fe-8baa-4d1a-b6f6-a883c096d8e0,attitude,Zurple Punch BX Cannabis Seeds,,In House Genetics,,,,,,,Zurple Punch BX new release for 2018 from In House Genetics - View our latest collection online at the Attitude Seedbank UK website. We're constantly getting new cannabis seeds from the biggest seedbanks.,,,,,,,,The World's Largest Cannabis Seed Superstore,,,,,FALSE,html/f67e846d468808a9.html,,2026-01-14T10:39:47.360065,,https://www.cannabis-seeds-bank.co.uk/in-house-genetics-zurple-punch-BX/prod_5492,,,,,,,,,,,,,,,,,,,,zurple punch bx cannabis seeds,,Zurple Punch BX Cannabis Seeds,zurplepunchbxcannabisseeds,FALSE,,,Zurple Punch BX,Zurple Punch,BX,,Zurple Punch BX,In House Genetics,100,Cleaned breeder name.,Strain: Zurple Punch BX -> Zurple Punch BX; Breeder: In House Genetics -> In House Genetics,FALSE,TRUE
b21e5265-c9b0-46d7-bd1d-c32030b1f232,attitude,In House Genetics Zurkle,,,,,,,,,Zurkle from In House Genetics is now available to buy! Shop over the phone or online at Attitude Seedbank UK. We offer the best promotion and fast delivery.,,,,,,,,Zurkle | Attitude Seedbank UK,,,,,FALSE,html/8abb04171e975dc9.html,,2026-01-14T10:39:47.555528,,https://www.cannabis-seeds-bank.co.uk/in-house-genetics-zurkle/prod_8850,,,,,,,,,,,,,,,,,,,,in house genetics zurkle,,In House Genetics Zurkle,inhousegeneticszurkle,FALSE,,,Zurkle,Zurkle,,,Zurkle,In House Genetics,100,Cleaned breeder name.,Strain: Zurkle -> Zurkle; Breeder: In House Genetics -> In House Genetics,FALSE,TRUE
36edd2c5-a327-4eb8-9aa7-8617ce981de1,attitude,Genehtik,,,0.3,,,,,,Genehtik Seeds Zuri Widow is available at the Attitude Seedbank. Visit our website to check out the whole range of cannabis seeds. We ship worldwide.,,,,,,,,Cannabiogen Seeds,,,,,FALSE,html/83919ea72466b74c.html,,2026-01-14T10:39:47.774417,,https://www.cannabis-seeds-bank.co.uk/genehtik-seeds-zuri-widow/prod_554,,,,,,,,,,,,,,,,,,,,genehtik,,Genehtik,genehtik,FALSE,,,Zuri Widow,Zuri Widow,,,Zuri Widow,Genehtik Seeds,100,Cleaned breeder name.,Strain: Zuri Widow -> Zuri Widow; Breeder: Genehtik Seeds -> Genehtik Seeds,FALSE,TRUE
517d490e-28b2-47d3-8de1-46a7b3f51301,attitude,The Plug,,,,,,,,,Here's one of the treasures from The Plug Seedbank. Zupreme is now in stock. Buy it online at the Attitude Seedbank UK.,,,,,,,,Cannabiogen Seeds,,,,,FALSE,html/7be82366d02028df.html,,2026-01-14T10:39:47.973723,,https://www.cannabis-seeds-bank.co.uk/the-plug-seedbank-zupreme/prod_6719,,,,,,,,,,,,,,,,,,,,the plug,,The Plug,theplug,FALSE,,,Zupreme,Zupreme,,,Zupreme,The Plug Seedbank,100,Cleaned breeder name.,Strain: Zupreme -> Zupreme; Breeder: The Plug Seedbank -> The Plug Seedbank,FALSE,TRUE
af2568fa-af13-4cd1-9580-be9ffe07045f,attitude,Compound Genetics,,,,,,,,,"Explore Zupernova cannabis seeds from Compound Genetics. High-quality hybrid, a cross of Zlayer x Eye Candy. Available at Attitude Seedbank UK.",,,,,,,,Seeds Zupernova | Attitude Seedbank UK,,,,,FALSE,html/8eabcbb379294a9a.html,,2026-01-14T10:39:48.149448,,https://www.cannabis-seeds-bank.co.uk/compound-genetics-seeds-zupernova/prod_9854,,,,,,,,,,,,,,,,,,,,compound genetics,,Compound Genetics,compoundgenetics,FALSE,,,Seeds Zupernova,Seeds Zupernova,,,Zupernova,Compound Genetics,90,Removed 'Seeds' from strain name. Cleaned breeder name.,Strain: Seeds Zupernova -> Zupernova; Breeder: Compound Genetics -> Compound Genetics,FALSE,TRUE
8a7964ee-8dc5-425f-9013-f130efafccfb,attitude,FastBuds,,,1,,,,,,"If you're a connoisseur looking for bold flavors, a grower chasing top-shelf yields, or a daytime toker searching for something fresh, Z-Up Auto ticks all the boxes. With unmatched citrus flavour, sky-high THC, and electric sativa energy, Z-Up Auto will take your cannabis journey to new, refreshing heights.",,Sativa,,,,,,Cannabiogen Seeds,,,,35,FALSE,html/5398eca52a5fa142.html,65,2026-01-14T10:39:48.411622,,https://www.cannabis-seeds-bank.co.uk/fastbuds-seeds-z-up-auto/prod_9662,,,,29,29,29,,,,,,,,,,,,,,fastbuds,,FastBuds,fastbuds,TRUE,,,Z Up Auto,Z Up Auto,,,Z Up,Fastbuds Seeds,100,Removed 'Auto' suffix. Cleaned breeder name.,Strain: Z Up Auto -> Z Up; Breeder: Fastbuds Seeds -> Fastbuds Seeds,FALSE,TRUE
6f843b63-e07c-4f65-8c78-19e04eddc44b,attitude,SinCity,,,,,,,,,Zummy BearZ by SinCity Seeds are now available to order securely online at The Attitude Seedbank website or over the phone. ,,,,,,,,Cannabiogen Seeds,,,,,FALSE,html/c685cfdf7b7d4890.html,,2026-01-14T10:39:48.645648,,https://www.cannabis-seeds-bank.co.uk/sincity-seeds-zummy-bearz/prod_7157,,,,,,,,,,,,,,,,,,,,sincity,,SinCity,sincity,FALSE,,,Zummy Bearz,Zummy Bearz,,,Zummy Bearz,SinCity Seeds,100,Cleaned breeder name.,Strain: Zummy Bearz -> Zummy Bearz; Breeder: SinCity Seeds -> SinCity Seeds,FALSE,TRUE
d20966c2-9b22-4c6d-b812-5d4ec7b2c78b,attitude,Green House,,,0.23,,,,,,"Find your favourite marijuana seed banks online at the Attitude Seedbank UK including Green House. Buy online Ztrawberry Cannabis Seeds.

",,Indica,,,,,,Cannabiogen Seeds,160-280 cm,,,60,FALSE,html/3c547d2c2032ca11.html,40,2026-01-14T10:39:48.836101,,https://www.cannabis-seeds-bank.co.uk/green-house-seeds-ztrawberry/prod_7998,,,,22.48,22.48,22.48,,,,,,280,,,,,,,,green house,,Green House,greenhouse,FALSE,,,Green House Seeds Ztrawberry,Green House Seeds Ztrawberry,,,Ztrawberry,Green House Seeds,90,Removed breeder name from strain name. Cleaned breeder name.,Strain: Green House Seeds Ztrawberry -> Ztrawberry; Breeder: Green House Seeds -> Green House Seeds,FALSE,TRUE
